,ticker,expiration,timeToMaturity,strike,optionType,lastPrice,bid,ask,impliedVolatility,inTheMoney,spotPrice,interestRate
0,NVDA,2025-03-21,0.076712,5.0,Call,134.7,134.35,135.1,6.062502421874999,True,139.360596,4.205
1,NVDA,2025-03-21,0.076712,10.0,Call,124.0,129.35,130.15,4.67187916015625,True,139.360596,4.205
2,NVDA,2025-03-21,0.076712,15.0,Call,104.65,124.3,125.05,3.7695318261718755,True,139.360596,4.205
3,NVDA,2025-03-21,0.076712,20.0,Call,120.03,119.35,120.1,3.339845400390624,True,139.360596,4.205
4,NVDA,2025-03-21,0.076712,25.0,Call,106.22,114.35,115.1,2.9531276171874996,True,139.360596,4.205
5,NVDA,2025-03-21,0.076712,30.0,Call,109.82,109.15,110.5,2.7480500048828125,True,139.360596,4.205
6,NVDA,2025-03-21,0.076712,32.0,Call,108.57,107.4,108.2,2.6093784765625,True,139.360596,4.205
7,NVDA,2025-03-21,0.076712,33.0,Call,85.8,106.55,107.3,2.6669955200195314,True,139.360596,4.205
8,NVDA,2025-03-21,0.076712,34.0,Call,105.84,105.45,106.25,2.550784873046875,True,139.360596,4.205
9,NVDA,2025-03-21,0.076712,35.0,Call,105.95,104.55,105.3,2.561527033691406,True,139.360596,4.205
10,NVDA,2025-03-21,0.076712,36.0,Call,83.55,103.55,104.3,2.5117224707031247,True,139.360596,4.205
11,NVDA,2025-03-21,0.076712,37.0,Call,97.49,102.4,103.15,2.3378947802734364,True,139.360596,4.205
12,NVDA,2025-03-21,0.076712,38.0,Call,102.12,101.5,102.25,2.376957182617187,True,139.360596,4.205
13,NVDA,2025-03-21,0.076712,39.0,Call,78.98,100.45,101.25,2.3125042187499996,True,139.360596,4.205
14,NVDA,2025-03-21,0.076712,40.0,Call,97.4,99.6,100.25,2.3242229394531244,True,139.360596,4.205
15,NVDA,2025-03-21,0.076712,41.0,Call,99.45,98.6,99.35,2.3144573388671867,True,139.360596,4.205
16,NVDA,2025-03-21,0.076712,42.0,Call,100.76,0.0,0.0,1.0000000000000003e-05,True,139.360596,4.205
17,NVDA,2025-03-21,0.076712,43.0,Call,94.35,96.55,97.15,2.1435593286132812,True,139.360596,4.205
18,NVDA,2025-03-21,0.076712,44.0,Call,96.09,95.6,96.3,2.172856130371094,True,139.360596,4.205
19,NVDA,2025-03-21,0.076712,45.0,Call,94.79,94.6,95.35,2.14844212890625,True,139.360596,4.205
20,NVDA,2025-03-21,0.076712,46.0,Call,91.75,93.4,94.2,1.9921875390625,True,139.360596,4.205
21,NVDA,2025-03-21,0.076712,47.0,Call,87.5,92.55,93.35,2.0566454833984373,True,139.360596,4.205
22,NVDA,2025-03-21,0.076712,48.0,Call,92.3,91.45,92.25,1.955078349609375,True,139.360596,4.205
23,NVDA,2025-03-21,0.076712,49.0,Call,78.8,90.5,91.2,1.919922275390625,True,139.360596,4.205
24,NVDA,2025-03-21,0.076712,50.0,Call,89.88,89.65,90.35,1.9765626171875001,True,139.360596,4.205
25,NVDA,2025-03-21,0.076712,52.0,Call,86.48,87.55,88.35,1.8789068554687498,True,139.360596,4.205
26,NVDA,2025-03-21,0.076712,54.0,Call,66.35,85.6,86.3,1.8125009374999999,True,139.360596,4.205
27,NVDA,2025-03-21,0.076712,55.0,Call,83.2,84.55,85.3,1.7666027294921873,True,139.360596,4.205
28,NVDA,2025-03-21,0.076712,56.0,Call,83.02,83.55,84.35,1.7490246923828123,True,139.360596,4.205
29,NVDA,2025-03-21,0.076712,58.0,Call,80.37,81.55,82.35,1.6875015625,True,139.360596,4.205
30,NVDA,2025-03-21,0.076712,60.0,Call,77.75,79.6,80.35,1.640626796875,True,139.360596,4.205
31,NVDA,2025-03-21,0.076712,62.0,Call,75.95,77.6,78.3,1.5712912060546875,True,139.360596,4.205
32,NVDA,2025-03-21,0.076712,64.0,Call,76.83,75.7,76.4,1.5610373510742184,True,139.360596,4.205
33,NVDA,2025-03-21,0.076712,65.0,Call,75.07,74.55,75.3,1.4775416748046877,True,139.360596,4.205
34,NVDA,2025-03-21,0.076712,66.0,Call,67.89,73.7,74.45,1.5166039794921873,True,139.360596,4.205
35,NVDA,2025-03-21,0.076712,68.0,Call,68.5,71.75,72.5,1.482424462890625,True,139.360596,4.205
36,NVDA,2025-03-21,0.076712,70.0,Call,67.75,69.7,70.4,1.400393623046875,True,139.360596,4.205
