,ticker,expiration,timeToMaturity,strike,optionType,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,spotPrice,interestRate
0,NVDA,2025-02-21,0.021918,0.5,Call,133.92,130.45,130.9,940.0,34624.0,1.0000000000000003e-05,True,131.694397,4.23
1,NVDA,2025-02-21,0.021918,1.0,Call,132.49,129.8,130.45,1.0,389.0,1.0000000000000003e-05,True,131.694397,4.23
2,NVDA,2025-02-21,0.021918,1.5,Call,132.4,129.45,130.1,80.0,118.0,1.0000000000000003e-05,True,131.694397,4.23
3,NVDA,2025-02-21,0.021918,2.0,Call,132.7,128.85,129.4,80.0,56.0,1.0000000000000003e-05,True,131.694397,4.23
4,NVDA,2025-02-21,0.021918,2.5,Call,132.15,128.5,129.1,80.0,54.0,1.0000000000000003e-05,True,131.694397,4.23
5,NVDA,2025-02-21,0.021918,3.0,Call,117.87,127.9,128.55,47.0,173.0,1.0000000000000003e-05,True,131.694397,4.23
6,NVDA,2025-02-21,0.021918,3.5,Call,123.95,127.4,128.0,6.0,6.0,1.0000000000000003e-05,True,131.694397,4.23
7,NVDA,2025-02-21,0.021918,4.0,Call,122.6,127.0,127.6,1.0,6.0,1.0000000000000003e-05,True,131.694397,4.23
8,NVDA,2025-02-21,0.021918,4.5,Call,118.7,126.5,127.15,14.0,13.0,1.0000000000000003e-05,True,131.694397,4.23
9,NVDA,2025-02-21,0.021918,5.0,Call,118.75,126.0,126.6,2.0,381.0,1.0000000000000003e-05,True,131.694397,4.23
10,NVDA,2025-02-21,0.021918,10.0,Call,869.42,873.45,885.05,4.0,18.0,0.0,True,131.694397,4.23
11,NVDA,2025-02-21,0.021918,15.0,Call,869.93,868.7,879.55,4.0,5.0,0.0,True,131.694397,4.23
12,NVDA,2025-02-21,0.021918,20.0,Call,114.5,110.95,111.55,80.0,372.0,1.0000000000000003e-05,True,131.694397,4.23
13,NVDA,2025-02-21,0.021918,21.0,Call,113.28,109.9,110.55,6.0,105.0,1.0000000000000003e-05,True,131.694397,4.23
14,NVDA,2025-02-21,0.021918,22.0,Call,111.7,109.0,109.65,10.0,318.0,1.0000000000000003e-05,True,131.694397,4.23
15,NVDA,2025-02-21,0.021918,23.0,Call,111.45,108.0,108.55,160.0,106.0,1.0000000000000003e-05,True,131.694397,4.23
16,NVDA,2025-02-21,0.021918,24.0,Call,106.5,106.85,107.5,10.0,100.0,1.0000000000000003e-05,True,131.694397,4.23
17,NVDA,2025-02-21,0.021918,25.0,Call,109.35,105.95,106.6,80.0,214.0,1.0000000000000003e-05,True,131.694397,4.23
18,NVDA,2025-02-21,0.021918,26.0,Call,107.95,105.0,105.65,6.0,130.0,1.0000000000000003e-05,True,131.694397,4.23
19,NVDA,2025-02-21,0.021918,27.0,Call,95.81,104.0,104.6,1.0,105.0,1.0000000000000003e-05,True,131.694397,4.23
20,NVDA,2025-02-21,0.021918,28.0,Call,101.93,102.95,103.6,2.0,161.0,1.0000000000000003e-05,True,131.694397,4.23
21,NVDA,2025-02-21,0.021918,29.0,Call,105.35,101.9,102.55,80.0,151.0,1.0000000000000003e-05,True,131.694397,4.23
22,NVDA,2025-02-21,0.021918,30.0,Call,102.47,100.9,101.55,1.0,701.0,1.0000000000000003e-05,True,131.694397,4.23
23,NVDA,2025-02-21,0.021918,31.0,Call,103.35,99.95,100.55,80.0,360.0,1.0000000000000003e-05,True,131.694397,4.23
24,NVDA,2025-02-21,0.021918,32.0,Call,86.79,98.9,99.55,2.0,138.0,1.0000000000000003e-05,True,131.694397,4.23
25,NVDA,2025-02-21,0.021918,33.0,Call,101.22,97.95,98.55,164.0,509.0,1.0000000000000003e-05,True,131.694397,4.23
26,NVDA,2025-02-21,0.021918,34.0,Call,92.53,96.95,97.6,1.0,168.0,1.0000000000000003e-05,True,131.694397,4.23
